B15:,R23,R5,R18,R3,R7,R12,R15,R9,R8,R4,R0,R2,R22,R19,R14,R1,R10,R11,R13,R6,R16,R17,R24,R20,R21,
B16:,R2,R15,R13,R14,R17,R16,R11,R19,R22,R5,R9,R4,R18,R21,R12,R6,R23,R24,R8,R3,R20,R7,R1,R0,R10,
B17:,R10,R11,R24,R12,R22,R20,R7,R3,R8,R18,R17,R23,R15,R0,R1,R4,R16,R13,R2,R9,R5,R21,R19,R6,R14,
B18:,R18,R6,R17,R2,R9,R24,R20,R11,R13,R3,R14,R16,R5,R12,R7,R0,R4,R21,R1,R22,R10,R23,R8,R15,R19,
B19:,R8,R0,R12,R3,R4,R14,R6,R18,R1,R22,R11,R24,R19,R5,R7,R10,R23,R15,R9,R17,R16,R21,R20,R2,R13,
B20:,R11,R24,R22,R1,R18,R10,R9,R5,R21,R2,R20,R15,R12,R3,R8,R4,R17,R16,R13,R23,R7,R14,R0,R6,R19,
B21:,R3,R13,R12,R6,R0,R10,R20,R16,R7,R14,R15,R11,R17,R22,R2,R5,R9,R8,R19,R1,R18,R21,R24,R4,R23,
B22:,R24,R3,R18,R22,R4,R21,R12,R5,R2,R6,R10,R23,R1,R8,R14,R11,R16,R7,R9,R0,R17,R15,R19,R20,R13,
B23:,R7,R21,R4,R17,R20,R9,R12,R2,R23,R22,R19,R15,R24,R14,R13,R6,R16,R5,R0,R10,R8,R18,R11,R3,R1,
B24:,R7,R4,R19,R12,R8,R18,R0,R16,R5,R10,R1,R22,R20,R3,R24,R2,R15,R21,R9,R6,R11,R14,R23,R13,R17,

R0:,B15,B13,B3,B10,B23,B18,B6,B1,B2,B16,B5,B22,B14,B19,B7,B24,B12,B11,B9,B8,B21,B20,B4,B17,B0,
R1:,B16,B9,B3,B13,B15,B6,B0,B21,B4,B22,B11,B24,B23,B5,B7,B14,B2,B8,B10,B17,B1,B18,B20,B19,B12,
R2:,B8,B23,B13,B9,B11,B7,B21,B22,B10,B6,B1,B16,B2,B5,B19,B4,B0,B17,B15,B14,B24,B20,B12,B3,B18,
R3:,B23,B13,B2,B1,B17,B0,B18,B5,B8,B12,B6,B21,B14,B22,B11,B20,B7,B15,B9,B4,B10,B3,B16,B19,B24,
R4:,B10,B13,B5,B19,B4,B1,B9,B2,B24,B8,B17,B11,B23,B22,B7,B0,B16,B20,B12,B21,B15,B18,B3,B6,B14,
R5:,B14,B4,B15,B13,B24,B22,B10,B6,B7,B2,B8,B1,B9,B17,B12,B21,B3,B20,B5,B16,B19,B11,B0,B18,B23,
R6:,B23,B9,B12,B14,B13,B20,B4,B24,B22,B15,B10,B17,B3,B0,B19,B18,B2,B11,B21,B16,B5,B8,B1,B6,B7,
R7:,B11,B19,B21,B13,B17,B8,B24,B7,B14,B12,B0,B3,B4,B18,B10,B5,B2,B9,B22,B15,B23,B6,B1,B20,B16,
R8:,B13,B3,B10,B4,B5,B21,B9,B16,B24,B23,B8,B18,B6,B19,B0,B20,B2,B14,B12,B22,B7,B11,B17,B1,B15,
R9:,B4,B17,B6,B19,B1,B10,B21,B13,B7,B3,B23,B9,B15,B24,B16,B18,B11,B0,B2,B14,B5,B22,B20,B8,B12,
R10:,B19,B22,B6,B5,B21,B7,B8,B14,B3,B24,B23,B9,B17,B20,B1,B11,B16,B10,B18,B13,B15,B2,B12,B0,B4,
R11:,B23,B13,B16,B6,B11,B20,B19,B12,B4,B8,B9,B24,B2,B21,B1,B17,B22,B15,B7,B3,B18,B14,B5,B10,B0,
R12:,B21,B11,B9,B16,B10,B2,B19,B8,B23,B24,B6,B1,B15,B5,B13,B7,B17,B3,B18,B14,B0,B22,B20,B12,B4,
R13:,B18,B13,B23,B8,B12,B22,B7,B1,B2,B21,B20,B24,B14,B4,B11,B16,B6,B0,B17,B19,B3,B5,B10,B9,B15,
R14:,B10,B13,B5,B24,B7,B18,B1,B16,B15,B21,B0,B4,B23,B2,B3,B14,B11,B8,B12,B20,B22,B9,B17,B19,B6,
R15:,B0,B12,B18,B2,B7,B5,B14,B4,B23,B8,B17,B11,B3,B6,B13,B24,B10,B16,B22,B9,B19,B1,B21,B15,B20,
R16:,B20,B10,B15,B14,B6,B4,B8,B2,B9,B3,B1,B22,B17,B19,B5,B18,B23,B11,B12,B21,B24,B13,B0,B7,B16,
R17:,B13,B4,B20,B21,B22,B19,B15,B24,B14,B8,B10,B5,B9,B7,B1,B12,B23,B18,B3,B2,B17,B0,B11,B6,B16,
R18:,B23,B7,B22,B19,B0,B16,B8,B12,B17,B20,B11,B1,B2,B9,B5,B15,B6,B18,B3,B13,B14,B4,B21,B10,B24,
R19:,B8,B23,B3,B7,B4,B16,B9,B12,B10,B20,B6,B24,B17,B11,B5,B18,B19,B1,B15,B22,B2,B13,B14,B21,B0,
R20:,B18,B10,B22,B2,B7,B17,B16,B12,B21,B14,B6,B1,B23,B15,B24,B3,B13,B8,B9,B20,B19,B4,B0,B5,B11,
R21:,B23,B0,B21,B10,B18,B12,B20,B5,B2,B7,B15,B3,B4,B11,B6,B9,B14,B24,B22,B19,B17,B1,B8,B13,B16,
R22:,B22,B13,B4,B8,B5,B16,B2,B1,B12,B11,B23,B9,B14,B15,B21,B17,B3,B18,B10,B20,B24,B6,B0,B7,B19,
R23:,B6,B10,B1,B5,B3,B2,B14,B16,B21,B19,B4,B18,B9,B17,B7,B13,B20,B23,B15,B8,B22,B12,B24,B0,B11,
R24:,B13,B20,B4,B3,B10,B12,B18,B24,B14,B15,B17,B23,B9,B16,B11,B19,B5,B7,B2,B1,B21,B6,B0,B8,B22,
